relation_id,subject,predicate,object,hub_entity,hub_connectivity,confidence,section,source_paper,source_text,llama3.2_3b_text_accuracy,llama3.2_3b_text_faithfulness,llama3.2_3b_text_boundary_quality,llama3.2_3b_text_justification,llama3.2_3b_text_inference_time,llama3.2_3b_text_error,mistral_7b_text_accuracy,mistral_7b_text_faithfulness,mistral_7b_text_boundary_quality,mistral_7b_text_justification,mistral_7b_text_inference_time,mistral_7b_text_error,llama3.1_8b_text_accuracy,llama3.1_8b_text_faithfulness,llama3.1_8b_text_boundary_quality,llama3.1_8b_text_justification,llama3.1_8b_text_inference_time,llama3.1_8b_text_error
0x625,Mignan,is author of,"Mignan, A., Spada, M., Burgherr, P., Wang, Z., Sornette, D., 2022",,,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Mignan, A., Spada, M., Burgherr, P., Wang, Z., Sornette, D., 2022.",True,5.0,5.0,"The relation is accurately represented in the sentence as it directly states that Mignan is the author of the given publication. The entity boundaries are also correctly identified, with the subject being characters 0-6 and the object being characters 0-65, which matches the source sentence's structure.",5.4032769203186035,,True,,,"The relation ""is author of"" is accurately represented in the sentence, as the authors are explicitly listed. The extraction correctly identifies the subject and object entities, with no errors in boundary identification.",7.026216983795166,,True,5.0,5.0,"The relation is accurately represented in the sentence, as it directly states that Mignan is an author of the listed publication. The entity boundaries are also correctly identified, with ""Mignan"" clearly marked as both subject and object.",8.39260482788086,
0x3f1,Gvakharia,is author of,"Hakobyan, A., Liesack, W., 2020",,,,References,Copy of A. Priyadarsini et al. 202320251115.pdf,"Gvakharia, A., Kort, E.A., Brandt, A., Peischl, J., Ryerson, T.B., Schwarz, J.P., Smith, M. L., Sweeney, C., 2017. Hakobyan, A., Liesack, W., 2020.",True,4.0,3.0,"The relation is accurately represented in the sentence, as both entities (Gvakharia and Hakobyan, A., Liesack, W., 2020) are correctly linked to each other. However, the boundary quality could be improved by more precise identification of the subject and object positions, as the provided boundaries slightly overlap.",3.9821038246154785,,True,5.0,5.0,"The relation ""is author of"" is directly stated in the source sentence, as the authors from the 2017 paper are listing another work by Hakobyan and Liesack (from 2020) at the end. The subject and object boundaries are correctly identified, as they correspond to the authors mentioned in their respective positions.",5.829094886779785,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""Gvakharia"" explicitly mentioned as the author and ""Hakobyan, A., Liesack, W., 2020"" as the publication. The entity boundaries are also correctly identified, with ""Gvakharia"" starting at character 0 and ""Hakobyan..."" starting at character 343.",6.824485778808594,
0x382,Conrado,is author of,2014,,,,References,Copy of A. Priyadarsini et al. 202320251115.pdf,"Conrado, R.J., Gonzalez, R., 2014. https://doi.org/10.1126/SCIENCE.1246929/SUPPL_ FILE/CONRADO.SM.PDF. Fei, Q., Guarnieri, M.T., Tao, L., Laurens, L.M.L., Dowe, N., Pienkos, P.T., 2014. Adv. 32, 596 -614. https://doi.org/10.1016/j.biotechadv.2014.03.011. Ge, X., Yang, L., Sheets, J.P., Yu, Z., Li, Y., 2014a. org/10.1016/J.BIOTECHADV.2014.09.004.

GGFR, 2022.",True,5.0,4.0,"The relation ""is author of"" is directly stated in the source sentence, with Conrado being mentioned before the year 2014. The entity boundaries are mostly correct, but there might be some minor issues with punctuation or formatting that could affect accuracy.",4.238847017288208,,True,5.0,5.0,"The relation ""Conrado is author of 2014"" is directly stated in the sentence as Conrado is listed as an author for a paper published in 2014. The year 2014 can be found in the DOI link provided, which indicates the publication date. The entity boundaries are correctly identified as ""Conrado"" is the subject and ""2014"" is the object of the relation.",6.656050205230713,,True,4.0,5.0,"The relation is accurately represented in the sentence, with Conrado being correctly identified as the subject and 2014 as the object. The entity boundaries are also perfectly identified, with no overlap or missing characters.",4.9005608558654785,
0xe48,Wagner,is author of,Biotechnol. Techniques,,,,Bibliography,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Wagner,L.W., Matheson,N.H., Heisey,R.F., and Schneider,K. 1997.",True,5.0,5.0,"The relation ""is author of"" is directly stated in the source sentence, with Wagner explicitly mentioned as the subject. The entity boundaries (subject and object) are correctly identified, with Wagner being the subject and Biotechnol. Techniques being the object.",2.415224075317383,,False,,,"The relation ""is author of"" cannot be directly found in the sentence, but it can be inferred from the context that Wagner is an author of a paper. The subject and object boundaries are correctly identified as Wagner is the subject and Biotechnol. Techniques could potentially be the object (title of the paper). However, without explicit confirmation, this relation cannot be considered accurate.",7.284796953201294,,True,4.0,5.0,"The relation is accurately represented in the sentence, as Wagner is indeed an author of ""Biotechnol. Techniques"". The entity boundaries are correctly identified, with Wagner being the subject and ""Biotechnol. Techniques"" being the object.",4.55889892578125,
0x451,Patel,is author of,"Patel, S.K.S., Mardina, P., Kim, S.Y., Lee, J.K., Kim, I.W., 2016c",,,,References,Copy of A. Priyadarsini et al. 202320251115.pdf,"Patel, S.K.S., Jeong, J.H., Mehariya, S., Otari, S.V., Madan, B., Haw, J.R., Lee, J.K., Zhang, L., Kim, I.W., 2016a. Patel, S.K.S., Mardina, P., Kim, D., Kim, S.Y., Kalia, V.C., Kim, I.W., Lee, J.K., 2016b. Patel, S.K.S., Mardina, P., Kim, S.Y., Lee, J.K., Kim, I.W., 2016c. Patel, S.K.S., Singh, R.K., Kumar, A., Jeong, J.H., Jeong, S.H., Kalia, V.C., Kim, I.W., Lee, J.K., 2017. Patel, S.K.S., Kondaveeti, S., Otari, S.V., Pagolu, R.T., Jeong, S.H., Kim, S.C., Cho, B.K., Kang, Y.C., Lee, J.K., 2018a. Patel, S.K.S., Kumar, V., Mardina, P., Li, J., Lestari, R., Kalia, V.C., Lee, J.K., 2018b. Patel, S.K.S., Jeon, M.S., Gupta, R.K., Jeon, Y., Kalia, V.C., Kim, S.C., Cho, B.K., Kim, D. R., Lee, J.K., 2019. Patel, S.K.S., Gupta, R.K., Kondaveeti, S., Otari, S.V., Kumar, A., Kalia, V.C., Lee, J.K., 2020a. Patel, S.K.S., Gupta, R.K., Kumar, V., Kondaveeti, S., Kumar, A., Das, D., Kalia, V.C., Lee, J.K., 2020b. https://doi.org/10.1007/ s12088-020-00883-6.

Patel, S.K.S., Kalia, V.C., Joo, J.B., Kang, Y.C., Lee, J.K., 2020c. Patel, S.K.S., Shanmugam, R., Kalia, V.C., Lee, J.K., 2020d.",True,5.0,5.0,"The relation ""is author of"" is directly stated in the source sentence, and the entity boundaries (subject and object) are correctly identified. The extracted relation accurately represents the relationship between Patel and his publications.",3.365633010864258,,True,5.0,5.0,"The relation ""Patel is author of"" is directly stated in the sentence as the authors are listed for multiple publications, and the extracted object matches the authors listed for the publication year 2016c. The entity boundaries are correctly identified as the subject and object positions match the characters of the author's name and the authors' list respectively.",7.42788290977478,,True,5.0,5.0,"The relation is accurately represented in the sentence as it directly states that Patel is the author of the paper ""Patel, S.K.S., Mardina, P., Kim, S.Y., Lee, J.K., Kim, I.W., 2016c"". The entity boundaries are also correctly identified, with ""Patel"" being the subject and the long list of authors being the object.",7.762542009353638,
0xd4e,SMMO activity,is,400 -,,,,5.2.3 Effect of methane on sMMO activity of methanol grown cells,Copy of Adegbola thesis High Density Cultures20251113.pdf,"In  copper  free  media,  at  high  cell  densities,  there  is  an  increased competition for the carbon source, methane which stimulates the cells to produce more sMMO for survival.

SMMO activity

(umol naphthol/cell dry wt. - h)

700

600

500

400 -

300

200

100

0

Bioreactor

Subculture",True,4.0,3.0,"The relation ""SMMO activity"" is accurately represented in the sentence, as it mentions that there is an increased competition for the carbon source (methane) which stimulates cells to produce more sMMO. However, the faithfulness rating is not a perfect 5 because while the relation is stated, the context and surrounding information provide additional details about the relation, making it partially supported by other sentences in the text. The entity boundaries are mostly correct, with the subject being ""SMMO activity"" but the object could be more precisely defined as ""methane"".",4.168504238128662,,True,,,"The extracted relation ""SMMO activity is"" directly corresponds to the subject ""SMMO activity"" in the sentence, and it is explicitly stated that there is an increased competition for methane which stimulates the cells to produce more sMMO for survival. Therefore, the relation is accurately represented in the sentence. Additionally, the entity boundaries are correctly identified as the subject ""SMMO activity"" and the object is not present in this specific sentence, but it can be inferred that the absence of a value for ""400 -"" implies no SMMO activity at that point.",7.566003084182739,,True,4.0,5.0,"The relation is accurately represented in the sentence, with ""SMMO activity"" being the subject and ""400 -"" being the object. The entity boundaries are correctly identified as the subject starts at character 185 (""SMMO activity"") and ends at character 198, and the object is directly stated after the predicate ""is"".",5.661952018737793,
0xd42,SMMO activity,is,700,,,,5.2.3 Effect of methane on sMMO activity of methanol grown cells,Copy of Adegbola thesis High Density Cultures20251113.pdf,"In  copper  free  media,  at  high  cell  densities,  there  is  an  increased competition for the carbon source, methane which stimulates the cells to produce more sMMO for survival.

SMMO activity

(umol naphthol/cell dry wt. - h)

700

600

500

400 -

300

200

100

0

Bioreactor

Subculture",True,5.0,5.0,"The relation ""SMMO activity is"" is directly stated in the source sentence, and the entity boundaries (subject and object) are correctly identified as ""SMMO activity"" and ""700"", respectively.",2.3966410160064697,,True,,,"The extracted relation ""SMMO activity is 700"" is directly mentioned in the source sentence, with the subject and object clearly identified. The values for SMMO activity are presented as a list, where ""SMMO activity (umol naphthol/cell dry wt. - h) 700"" is one of the data points.",5.760327100753784,,True,4.0,5.0,"The relation is accurately represented in the sentence, with ""SMMO activity"" being the subject and ""700"" being the object. The entity boundaries are correctly identified as the subject starts at character 185 and ends at 198, and the object starts at character 234 and ends at 237.",5.191115856170654,
0x931,vapor silicone,is,"membrane (0.05"" thick)",,,,3.1.2.1 Growth medium,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Since ammonium hydroxide was utilized for pH control, the culture medium which was based on that of Cornish et al., (1984)  was  modified  to  use  ammonium  sulfate  as  the  nitrogen  source;  0.66  g/L (NH4)2SO4, 0.53 g/L KH2PO4, 1.62 g/L Na2HPO4.7 H2O, 7 mg/L CaCl2.2H2O, 37 mg/L MgSO4.7  H2O,  11.2 mg/L  FeSO4.7H2O, 0.574 mg/L  ZnSO4.7H2O, 0.446 mg/L MnSO4.7H2O, 0.124 mg/L H3BO3, 0.096 mg/L NaMoO4.2H2O, 0.096 mg/L CoCl2.6H2O, and 0.166 mg/L KI.

carrier air in

aqueous methanol

solution methanol

vapor silicone

membrane (0.05"" thick)

A.

to sensor stainless

→ steel case

(1/4""' O.D)

PTFE

tubing

(1/32"" I.D)

ADRboard

analog/digital

CO2

analyzer

Air

in

Exhaust

air

Substrate

feed

pump

Methanol

sensor

Computer

with

Labview6.1

B.",,,,,13.204698085784912,,False,,,"The relation ""vapor silicone is membrane"" is not directly stated in the sentence. Instead, it can be inferred that the vapor could potentially pass through a silicone membrane, but there's no explicit statement confirming this relationship. The entity boundaries are correctly identified, as the subject and object are accurately defined within the given context of the sentence.",7.238571882247925,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""vapor silicone"" explicitly mentioned as a component. The subject and object boundaries are also correctly identified, with ""vapor silicone"" being the subject and ""membrane (0.05"" thick)"" being the object of the predicate ""is"".",6.063752174377441,
0x885,component B,is,15.8kDa,,,,2.4.1 Enzyme structure,Copy of Adegbola thesis High Density Cultures20251113.pdf,"The MMO enzyme consists of three components, component A which is a hydroxylase (MMOH, 245 kDa) containing non-haem iron, component B (15.8kDa) and component C

Small

Ligand

Site

0 Gl414

His, 47

Fe

07

Fe

Glu 243

•

which is a reductase (38.4 kDa) containing FAD and an Fe2S2 cluster (Fox et al., 1989). Although  component  B  is  not  required  in  the  oxygenase reaction,  the  specific  activity  of  the  sMMO  enzyme  is  increased  by  150  fold  when component B is present (Fox et al., 1989).",True,5.0,5.0,"The relation ""is"" is accurately represented in the sentence, and the object ""15.8kDa"" is directly stated as part of component B. The entity boundaries are also correctly identified, with ""component B"" being the subject and ""15.8kDa"" being the object.",3.0028018951416016,,True,5.0,5.0,"The relation ""component B is 15.8kDa"" is directly stated in the sentence, as it clearly mentions the component's identity and its weight. The entity boundaries are correctly identified, as they correspond to the actual positions of the subject and object in the source sentence.",5.3264000415802,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""component B"" being the subject and ""15.8kDa"" being the object of the predicate ""is"". The entity boundaries are also correctly identified, as they match the positions specified in the source sentence.",5.444962739944458,
0x1034,The membrane,is,0.05' thick silicone which is permeable only to gases,,,,Cross-chunk Analysis,Copy of Adegbola thesis High Density Cultures20251113.pdf,"One length of PTFE tubing transports air into  the  membrane  chamber  while  another  conveys  the  air/methanol  mixture  from  the membrane  chamber  to  the  sensor. During operation, the membrane end of the probe is immersed in the liquid medium and methanol diffuses through the membrane to the sensor.",True,4.0,3.0,"The extracted relation accurately represents the source sentence, as it correctly states that the membrane is permeable to gases. However, the faithfulness rating is not a perfect 5 because the sentence also mentions methanol diffusing through the membrane, which is not explicitly stated in the extracted relation.",4.131149053573608,,True,,,"The subject ""The membrane"" is directly mentioned in the sentence, and the relation ""is"" can be inferred as the membrane's properties are being described. However, the specific thickness and material of the membrane are not explicitly stated but can be inferred from the context. The object ""0.05' thick silicone which is permeable only to gases"" is a reasonable interpretation given the context of the sentence.",7.720672845840454,,True,4.0,5.0,"The relation is accurately represented in the sentence, as it describes a property of the membrane. The entity boundaries are correctly identified, with ""the membrane"" clearly being the subject and ""0.05' thick silicone which is permeable only to gases"" being the object.",5.038399934768677,
