relation_id,subject,predicate,object,hub_entity,hub_connectivity,confidence,section,source_paper,source_text,llama3.2_3b_text_accuracy,llama3.2_3b_text_faithfulness,llama3.2_3b_text_boundary_quality,llama3.2_3b_text_justification,llama3.2_3b_text_inference_time,llama3.2_3b_text_error,mistral_7b_text_accuracy,mistral_7b_text_faithfulness,mistral_7b_text_boundary_quality,mistral_7b_text_justification,mistral_7b_text_inference_time,mistral_7b_text_error,llama3.1_8b_text_accuracy,llama3.1_8b_text_faithfulness,llama3.1_8b_text_boundary_quality,llama3.1_8b_text_justification,llama3.1_8b_text_inference_time,llama3.1_8b_text_error
0x64e,"Queen's University Kingston, Ontario, Canada","(August, 2008)",date,,,,High cell density methanol cultivation of Methylosinus trichosporium OB3b,Copy of Adegbola thesis High Density Cultures20251113.pdf,"by Olufemi Adegbola

A thesis submitted to the Department of Chemical Engineering In conformity with the requirements for the degree of Master of Science (Engineering)

Queen's University Kingston, Ontario, Canada (August, 2008)",True,5.0,5.0,"The extracted relation is accurately represented in the sentence as it directly states the date of submission, which matches the given predicate. The subject and object boundaries are also correctly identified, with no extraneous information or missing details.",4.9174981117248535,,False,,,"The relation (August, 2008) is not accurately represented in the sentence as it does not provide a date for Queen's University Kingston. However, the date is mentioned in parentheses following the university name, which indicates that it has some connection to the university. The entity boundaries are correctly identified except that the extracted relation does not directly correspond to the provided sentence.",8.267652034759521,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""Queen's University Kingston, Ontario, Canada"" as the subject and ""(August, 2008)"" as the object. The entity boundaries are correctly identified, with no extraneous characters included or omitted from the subject or object.",8.83788800239563,
0x646,Department of Chemical Engineering,In conformity with the requirements for,the degree of Master of Science (Engineering),,,,High cell density methanol cultivation of Methylosinus trichosporium OB3b,Copy of Adegbola thesis High Density Cultures20251113.pdf,"by Olufemi Adegbola

A thesis submitted to the Department of Chemical Engineering In conformity with the requirements for the degree of Master of Science (Engineering)

Queen's University Kingston, Ontario, Canada (August, 2008)",True,5.0,5.0,"The extracted relation accurately represents the sentence, as it correctly identifies the subject (Department of Chemical Engineering), predicate (In conformity with the requirements for), and object (the degree of Master of Science (Engineering)). The entity boundaries are also perfectly identified.",3.6474947929382324,,True,5.0,5.0,"The relation ""Department of Chemical Engineering is In conformity with the requirements for the degree of Master of Science (Engineering)"" is directly stated in the source sentence. The subject and object boundaries are correctly identified as the Department of Chemical Engineering is the subject, and the degree of Master of Science (Engineering) is the object.",6.149205923080444,,True,5.0,5.0,"The relation is directly stated in the sentence, with the subject and object clearly identified. The entity boundaries are also perfectly matched to the source sentence.",4.783479690551758,
0x66a,soluble methane monooxygenase (sMMO),metabolizes,methane,,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol. Much literature exists on cultivating this organism on methane, however no one has achieved dry  cell  weight  densities  exceeding  18  g/L.  Biomass  growth  is  limited  due  to  mass transfer of methane to cells. The inoculum cultures utilized in the bioreactor studies were maintained on Noble agar plates  containing  nitrogen  minimal  salts  medium  and  methane. The enzyme activity in methanol grown cells was recovered by subculturing in liquid NMS medium with methane as the sole carbon source, the activity increased from 8 to 600 [µmol naphthol][g of biomass] -1",True,5.0,5.0,"The relation ""metabolizes"" is directly stated in the source sentence, and the entity boundaries (subject and object) are correctly identified as soluble methane monooxygenase (sMMO) being the subject that metabolizes methane.",2.7902626991271973,,True,5.0,5.0,"The relation ""sMMO metabolizes methane"" is directly stated in the sentence. The subject, soluble methane monooxygenase (sMMO), and object, methane, are correctly identified and appear in close proximity to each other in the source text.",5.573714017868042,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""metabolize"" explicitly indicating that sMMO acts on methane. The entity boundaries are also correctly identified, as ""sMMO"" is clearly mentioned as the subject performing the action, and ""methane"" is the object being acted upon.",6.228510856628418,
0x669,Methylosinus trichosporium OB3b,grows,only on one-carbon compounds,,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol.",True,5.0,5.0,"The extracted relation is accurately represented in the sentence, as it directly states that Methylosinus trichosporium OB3b grows only on one-carbon compounds. The source sentence explicitly mentions this condition, making the extraction correct and faithful to the original information.",2.7612788677215576,,True,5.0,5.0,"The relation ""grows"" is accurately represented in the sentence, and it is directly stated that Methylosinus trichosporium OB3b grows only on one-carbon compounds. The subject and object boundaries are correctly identified as well.",4.784324884414673,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""grows only on one-carbon compounds"" being a clear and concise expression of the predicate. The entity boundaries are also correctly identified, with the subject (""Methylosinus trichosporium OB3b"") and object (""only on one-carbon compounds"") clearly marked in the source sentence.",6.03539776802063,
0x67a,SMMO,has gained a great deal of attention in,bioremediation and chemical industries,,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol. SMMO  has gained a great deal of attention in the bioremediation and chemical industries because of its  low  substrate  specificity  and  its  ability  to  oxidize  chlorinated  hydrocarbons. This study investigated the growth of M. trichosporium on the water soluble carbon source, methanol while retaining sMMO activity. A biomass density  of  19  g/L  (growth  rate  of  0.013-0.065  h -1 )  was  achieved  with  sMMO activity  of  300  to  500  [µmol  naphthol][g  of  biomass] -1 After  6  months  of subsequent  plate  transfers, M.  trichosporium lost  the  ability  to  produce  high  levels  of sMMO. It is recommended that further studies be carried out on stimulating sMMO activity during cultivation on methanol.",True,5.0,5.0,"The relation is accurately represented in the sentence, as it directly states that ""sMMO has gained a great deal of attention in bioremediation and chemical industries"". There are no discrepancies or ambiguities in the source sentence regarding this extracted relation.",3.005293130874634,,True,5.0,5.0,"The relation ""SMMO has gained a great deal of attention in bioremediation and chemical industries"" is directly stated in the source sentence. The subject, object boundaries are correctly identified as ""sMMO"" and ""bioremediation and chemical industries"", respectively.",5.609381198883057,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""sMMO has gained a great deal of attention"" explicitly mentioning the subject-predicate-object structure. Additionally, the entity boundaries are correctly identified, as the subject ""sMMO"" and object ""bioremediation and chemical industries"" are clearly marked in the source sentence.",6.3002848625183105,
0x64b,Olufemi Adegbola,submitted,thesis,,,,High cell density methanol cultivation of Methylosinus trichosporium OB3b,Copy of Adegbola thesis High Density Cultures20251113.pdf,"by Olufemi Adegbola

A thesis submitted to the Department of Chemical Engineering In conformity with the requirements for the degree of Master of Science (Engineering)

Queen's University Kingston, Ontario, Canada (August, 2008) Copyright © Olufemi Adegbola, 2008",True,5.0,5.0,"The extracted relation is accurately represented in the sentence as it directly states that Olufemi Adegbola submitted a thesis. The entity boundaries (subject and object) are correctly identified, with ""Olufemi Adegbola"" being the subject and ""thesis"" being the object.",2.7447080612182617,,True,,,"The relation ""Olufemi Adegbola submitted thesis"" is explicitly mentioned in the sentence, making it a direct statement. The subject and object boundaries are correctly identified as they correspond to the actual entities in the source sentence.",4.718935012817383,,True,4.0,5.0,"The relation is accurately represented in the sentence, with Olufemi Adegbola being the subject who submitted a thesis. The entity boundaries are correctly identified, with the subject position starting at character 3 and the object position starting at character 23.",4.833892107009888,
0x66f,this study,investigated the growth of M. trichosporium on,"the water soluble carbon source, methanol",,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"This study investigated the growth of M. trichosporium on the water soluble carbon source, methanol while retaining sMMO activity.",True,4.0,3.0,"The relation is accurately represented in the sentence, as it states that ""this study"" investigated a specific aspect of M. trichosporium growth. However, the faithfulness score is slightly lower because the source sentence does not explicitly mention methanol as the water soluble carbon source; instead, it mentions ""the water soluble carbon source, methanol"". The boundary quality score is 3 because the subject and object boundaries are generally correct, but there might be some minor discrepancies in the exact wording.",3.845050096511841,,True,,,"The relation ""this study investigated the growth of M. trichosporium on"" is directly stated in the sentence, and the subject and object boundaries are correctly identified as ""This study"" and ""the water soluble carbon source, methanol"", respectively.",4.966484785079956,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""This study"" as the subject and ""the water soluble carbon source, methanol"" as the object. The entity boundaries are correctly identified, matching the positions specified in the problem statement.",4.767643928527832,
0x649,"Copyright © Olufemi Adegbola, 2008",Copyright,rights,,,,High cell density methanol cultivation of Methylosinus trichosporium OB3b,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Copyright © Olufemi Adegbola, 2008",True,5.0,5.0,"The relation is accurately represented in the sentence as it directly states that Olufemi Adegbola owns the copyright. The entity boundaries (subject and object) are correctly identified, with ""Olufemi Adegbola"" being the subject and ""rights"" being the object of the copyright.",2.737607002258301,,True,5.0,5.0,"The relation ""Copyright"" is directly stated in the sentence, and the subject and object are correctly identified as the copyright symbol and the rights associated with it respectively. The sentence explicitly states that the copyright belongs to Olufemi Adegbola, and the year of copyright is given as 2008.",5.1044087409973145,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""Copyright"" as the predicate and ""rights"" implied by the context of copyright. The entity boundaries are also correctly identified, with ""Olufemi Adegbola, 2008"" being the object of the relation.",5.138723134994507,
0x66d,Methylosinus trichosporium OB3b,produces high levels of,soluble methane monooxygenase (sMMO),,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol.",True,5.0,5.0,"The extracted relation accurately represents the source sentence, as it directly states that in the absence of copper, Methylosinus trichosporium OB3b produces high levels of soluble methane monooxygenase (sMMO). The relation is explicitly mentioned in the sentence.",2.8582730293273926,,True,5.0,5.0,"The relation ""produces high levels of soluble methane monooxygenase (sMMO)"" is directly stated in the sentence, and the subject and object are correctly identified. The system has accurately extracted the information from the source.",4.565713167190552,,True,5.0,5.0,"The relation is directly stated in the sentence, with ""Methylosinus trichosporium OB3b"" as the subject and ""soluble methane monooxygenase (sMMO)"" as the object. The entity boundaries are correctly identified, with no extraneous characters included or omitted from the subject and object positions.",5.675762891769409,
0x67b,SMMO,is able to oxidize,chlorinated hydrocarbons,,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol. SMMO  has gained a great deal of attention in the bioremediation and chemical industries because of its  low  substrate  specificity  and  its  ability  to  oxidize  chlorinated  hydrocarbons. This study investigated the growth of M. trichosporium on the water soluble carbon source, methanol while retaining sMMO activity. A biomass density  of  19  g/L  (growth  rate  of  0.013-0.065  h -1 )  was  achieved  with  sMMO activity  of  300  to  500  [µmol  naphthol][g  of  biomass] -1 After  6  months  of subsequent  plate  transfers, M.  trichosporium lost  the  ability  to  produce  high  levels  of sMMO. It is recommended that further studies be carried out on stimulating sMMO activity during cultivation on methanol.",True,5.0,5.0,"The extracted relation is accurately represented in the sentence, as it directly states that SMMO has the ability to oxidize chlorinated hydrocarbons. The source sentence explicitly mentions sMMO's role in metabolizing methane and its ability to oxidize chlorinated hydrocarbons.",3.8393208980560303,,True,5.0,5.0,"The relation ""SMMO is able to oxidize chlorinated hydrocarbons"" is directly stated in the sentence. The system correctly identified the subject and object entities.",4.619258165359497,,True,5.0,5.0,"The relation is directly stated in the sentence, and the entity boundaries (subject ""sMMO"" and object ""chlorinated hydrocarbons"") are correctly identified.",4.611686944961548,
