relation_id,subject,predicate,object,hub_entity,hub_connectivity,confidence,section,source_paper,source_text,llama3.1_8b_text_accuracy,llama3.1_8b_text_faithfulness,llama3.1_8b_text_boundary_quality,llama3.1_8b_text_justification,llama3.1_8b_text_inference_time,llama3.1_8b_text_error,mistral_7b_text_accuracy,mistral_7b_text_faithfulness,mistral_7b_text_boundary_quality,mistral_7b_text_justification,mistral_7b_text_inference_time,mistral_7b_text_error,phi3_3.8b_text_accuracy,phi3_3.8b_text_faithfulness,phi3_3.8b_text_boundary_quality,phi3_3.8b_text_justification,phi3_3.8b_text_inference_time,phi3_3.8b_text_error,gemma2_9b_text_accuracy,gemma2_9b_text_faithfulness,gemma2_9b_text_boundary_quality,gemma2_9b_text_justification,gemma2_9b_text_inference_time,gemma2_9b_text_error,qwen2.5_1.5b_text_accuracy,qwen2.5_1.5b_text_faithfulness,qwen2.5_1.5b_text_boundary_quality,qwen2.5_1.5b_text_justification,qwen2.5_1.5b_text_inference_time,qwen2.5_1.5b_text_error,deepseek-coder_6.7b_text_accuracy,deepseek-coder_6.7b_text_faithfulness,deepseek-coder_6.7b_text_boundary_quality,deepseek-coder_6.7b_text_justification,deepseek-coder_6.7b_text_inference_time,deepseek-coder_6.7b_text_error
0x64e,"Queen's University Kingston, Ontario, Canada","(August, 2008)",date,,,,High cell density methanol cultivation of Methylosinus trichosporium OB3b,Copy of Adegbola thesis High Density Cultures20251113.pdf,"by Olufemi Adegbola

A thesis submitted to the Department of Chemical Engineering In conformity with the requirements for the degree of Master of Science (Engineering)

Queen's University Kingston, Ontario, Canada (August, 2008)",True,5.0,5.0,"The relation is directly stated in the sentence, with ""Queen's University Kingston, Ontario, Canada"" as the subject and ""(August, 2008)"" as the object. The entity boundaries are correctly identified, with no extraneous characters included or omitted from the subject or object.",9.116052150726318,,False,,,"The relation (August, 2008) is not accurately represented in the sentence as it does not provide a date for Queen's University Kingston. However, the date is mentioned in parentheses following the university name, which indicates that it has some connection to the university. The entity boundaries are correctly identified except that the extracted relation does not directly correspond to the provided sentence.",8.459260940551758,,True,3.0,4.0,"The relation is accurately represented as the subject ""Queen's University Kingston, Ontario, Canada"" and object ""(August, 2008)"" are present in the source sentence. However, it isn't directly stated that Queen's University was established or founded on August 2008 but rather a thesis submission date is mentioned which could be misleading without additional context to clarify if this refers to an event of establishment or another significant occurrence at the university during that time frame. The entity boundaries are well-identified, although there might have been some ambiguity due to lacking explicit phrasing in the sentence linking Queen's University with August 2008 as a date directly related to its foundation.",6.343994140625,,True,3,5,"The relation is present in the sentence, but it's not explicitly stated as a fact. It's more of an indication within the context of the thesis submission.  The entity boundaries are correctly identified.",9.218698024749756,,True,4,3,"The extracted relation is accurately represented in the sentence. The subject ""Queen's University Kingston, Ontario, Canada"" matches the entity identified as ""Queen's University Kingston, Ontario, Canada"" in the source text. The predicate ""August, 2008"" correctly identifies the date mentioned in the source as being August 2008. However, the object is not directly stated but inferred from the context of the thesis submission and degree requirements, which aligns with the extracted relation.",4.652616739273071,,False,3.0,5.0,"The extracted relation does not directly state the subject and predicate in the sentence. However, it provides a clear statement about the location (Queen's University Kingston, Ontario, Canada) and date (August, 2008).",14.024336099624634,
0x646,Department of Chemical Engineering,In conformity with the requirements for,the degree of Master of Science (Engineering),,,,High cell density methanol cultivation of Methylosinus trichosporium OB3b,Copy of Adegbola thesis High Density Cultures20251113.pdf,"by Olufemi Adegbola

A thesis submitted to the Department of Chemical Engineering In conformity with the requirements for the degree of Master of Science (Engineering)

Queen's University Kingston, Ontario, Canada (August, 2008)",True,5.0,5.0,"The relation is directly stated in the sentence, with the subject and object clearly identified. The entity boundaries are also perfectly matched to the source sentence.",7.858627080917358,,True,5.0,5.0,"The relation ""Department of Chemical Engineering is In conformity with the requirements for the degree of Master of Science (Engineering)"" is directly stated in the source sentence. The subject and object boundaries are correctly identified as the Department of Chemical Engineering is the subject, and the degree of Master of Science (Engineering) is the object.",7.36075496673584,,True,5.0,5.0,"The extracted relation is accurately represented in the sentence as it clearly states that a thesis was submitted to the Department of Chemical Engineering for fulfilling degree requirements. Entity boundaries are correctly identified with ""Department of Chemical Engineering"" serving as the subject and ""the Master of Science (Engineering)"" being the object, which aligns perfectly with their respective roles in the sentence.",4.87556004524231,,True,3,5,"The relation is accurately represented in the sentence, but it's not directly stated. It's implied by the phrase ""In conformity with the requirements for.""  The entity boundaries are correctly identified.",7.649055004119873,,True,4,3,"The extracted relation is accurately represented in the sentence. The subject ""Department of Chemical Engineering"" matches the source's ""Department of Chemical Engineering,"" and the object ""the degree of Master of Science (Engineering)"" aligns with the source's ""Master of Science (Engineering)."" The predicate ""In conformity with the requirements for"" correctly describes the context provided by the source, which states that the thesis was submitted in accordance with the engineering requirements. However, there is a slight mismatch between the exact wording used in the sentence and the original source due to possible transcription errors or differences in how the information was originally presented. This makes it partially supported rather than directly stated.",5.33151388168335,,True,5.0,4.0,,13.604049921035767,
0x66a,soluble methane monooxygenase (sMMO),metabolizes,methane,,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol. Much literature exists on cultivating this organism on methane, however no one has achieved dry  cell  weight  densities  exceeding  18  g/L.  Biomass  growth  is  limited  due  to  mass transfer of methane to cells. The inoculum cultures utilized in the bioreactor studies were maintained on Noble agar plates  containing  nitrogen  minimal  salts  medium  and  methane. The enzyme activity in methanol grown cells was recovered by subculturing in liquid NMS medium with methane as the sole carbon source, the activity increased from 8 to 600 [µmol naphthol][g of biomass] -1",True,5.0,5.0,"The relation is directly stated in the sentence, with ""metabolize"" explicitly indicating that sMMO acts on methane. The entity boundaries are also correctly identified, as ""sMMO"" is clearly mentioned as the subject performing the action, and ""methane"" is the object being acted upon.",9.363633871078491,,True,5.0,5.0,"The relation ""sMMO metabolizes methane"" is directly stated in the sentence. The subject, soluble methane monooxygenase (sMMO), and object, methane, are correctly identified and appear in close proximity to each other in the source text.",6.756830215454102,,True,4.0,5.0,"The sentence accurately states that Methylosinus trichosporium OB3b produces soluble methane monooxygeine (sMMO) to metabolize methane, which aligns with the extracted relation. However, it does not explicitly mention sMMO's role in converting methane directly into methanol but implies its function through ""metabolizes."" The entity boundaries are correctly identified as 'methane' is clearly mentioned between characters 173-180.",6.289758920669556,,True,3,4,"The relation is accurately represented in the sentence, but it's not directly stated. It's implied through the phrase ""to metabolize methane to methanol.""  The entity boundaries are mostly correct; ""soluble methane monooxygenase (sMMO)"" is a slightly broader term than strictly necessary for the predicate.",9.01344895362854,,True,4,3,"The extracted relation ""soluble methane monooxygenase (sMMO) metabolizes methane"" is accurately represented in the source sentence. The subject, predicate, and object are correctly identified within the context of the sentence discussing methylosinus trichosporium OB3b's ability to produce sMMO for methane metabolism. However, the boundaries between the entity names (subject and object) are not perfectly correct as they do not match exactly with the characters provided in the question.",4.653412103652954,,True,5.0,4.0,,14.444768905639648,
0x669,Methylosinus trichosporium OB3b,grows,only on one-carbon compounds,,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol.",True,5.0,5.0,"The relation is directly stated in the sentence, with ""grows only on one-carbon compounds"" being a clear and concise expression of the predicate. The entity boundaries are also correctly identified, with the subject (""Methylosinus trichosporium OB3b"") and object (""only on one-carbon compounds"") clearly marked in the source sentence.",9.576153993606567,,True,5.0,5.0,"The relation ""grows"" is accurately represented in the sentence, and it is directly stated that Methylosinus trichosporium OB3b grows only on one-carbon compounds. The subject and object boundaries are correctly identified as well.",6.079674005508423,,True,5.0,5.0,"The source sentence directly states that Methylosinus trichosporium OB3b grows only on one-carbon compounds, which is accurately represented in the extracted relation. Additionally, entity boundaries are correctly identified as ""Methylosinus trichosporium OB3b"" for the subject and ""only on one-carbon compounds"" for the object within their respective character positions in the sentence.",5.201159954071045,,True,3,5,"The relation is accurately represented in the sentence, but it's not stated directly. It's partially supported by the phrase ""grows only on one-carbon compounds.""  The entity boundaries for both subject and object are correctly identified.",7.622828006744385,,True,4,3,"The extracted relation ""grows"" is accurately represented in the source sentence, as it states that Methylosinus trichosporium OB3b grows only on one-carbon compounds. However, the object position provided (characters 81-109) does not match the actual content of the sentence, which mentions producing high levels of soluble methane monooxygenase in the absence of copper to metabolize methane to methanol. This indicates a slight mismatch in the boundaries but is still considered faithful due to the accurate representation of the predicate ""grows.""",4.8420569896698,,True,5.0,4.0,"The accuracy of the relation is due to the direct mentioning of ""Methylosinus trichosporium OB3b grows only on one-carbon compounds"" in the source sentence. Similarly, the boundary quality is because these characters directly correspond with the subject and object mentioned in the extracted relation.",12.517926931381226,
0x67a,SMMO,has gained a great deal of attention in,bioremediation and chemical industries,,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol. SMMO  has gained a great deal of attention in the bioremediation and chemical industries because of its  low  substrate  specificity  and  its  ability  to  oxidize  chlorinated  hydrocarbons. This study investigated the growth of M. trichosporium on the water soluble carbon source, methanol while retaining sMMO activity. A biomass density  of  19  g/L  (growth  rate  of  0.013-0.065  h -1 )  was  achieved  with  sMMO activity  of  300  to  500  [µmol  naphthol][g  of  biomass] -1 After  6  months  of subsequent  plate  transfers, M.  trichosporium lost  the  ability  to  produce  high  levels  of sMMO. It is recommended that further studies be carried out on stimulating sMMO activity during cultivation on methanol.",True,5.0,5.0,"The relation is directly stated in the sentence, with ""sMMO has gained a great deal of attention"" explicitly mentioning the subject-predicate-object structure. Additionally, the entity boundaries are correctly identified, as the subject ""sMMO"" and object ""bioremediation and chemical industries"" are clearly marked in the source sentence.",9.920040130615234,,True,5.0,5.0,"The relation ""SMMO has gained a great deal of attention in bioremediation and chemical industries"" is directly stated in the source sentence. The subject, object boundaries are correctly identified as ""sMMO"" and ""bioremediation and chemical industries"", respectively.",6.818130016326904,,True,4.0,5.0,"The relation is accurately represented as the source sentence mentions that SMMO has gained attention in bioremediation and chemical industries, which aligns with the extracted subject-predicate-object. However, it does not explicitly mention its ability to oxidize chlorinated hydrocarbons within this specific context of gaining attention; hence a perfect score is not warranted for faithfulness. The entity boundaries are correctly identified as they directly correspond to where ""sMMO"" and the industries appear in the source sentence, respectively.",6.306305170059204,,True,3,4,"The relation is accurately represented in the sentence, but it's not directly stated. It's partially supported by the text which explains why sMMO has gained attention in those industries.  The entity boundaries are mostly correct, with a slight ambiguity around ""sMMO"" potentially encompassing ""soluble methane monooxygenase"".",9.541440963745117,,True,4,3,"The extracted relation ""has gained a great deal of attention in bioremediation and chemical industries"" is accurately represented in the source sentence. The subject ""SMMO"" (Methylosinus trichosporium OB3b's soluble methane monooxygenase) is correctly identified as having gained attention, and the object ""bioremediation and chemical industries"" is also accurately stated to be where this attention was gained. However, there are some discrepancies in the specific details provided (e.g., the exact position of the subject and object within the sentence), which slightly reduces the faithfulness rating from 5. The boundary quality is considered partially correct due to the slight variations in entity positions compared to the source text.",5.569289922714233,,True,3.0,4.0,"The relation is accurately represented in the sentence. It states that ""sMMO has gained a great deal of attention"" and points to the object ""bioremediation and chemical industries"". However, it does not directly state the source or method for gaining attention.",7.601304054260254,
0x64b,Olufemi Adegbola,submitted,thesis,,,,High cell density methanol cultivation of Methylosinus trichosporium OB3b,Copy of Adegbola thesis High Density Cultures20251113.pdf,"by Olufemi Adegbola

A thesis submitted to the Department of Chemical Engineering In conformity with the requirements for the degree of Master of Science (Engineering)

Queen's University Kingston, Ontario, Canada (August, 2008) Copyright © Olufemi Adegbola, 2008",True,4.0,5.0,"The relation is accurately represented in the sentence, with Olufemi Adegbola being the subject who submitted a thesis. The entity boundaries are correctly identified, with the subject position starting at character 3 and the object position starting at character 23.",8.415803909301758,,True,,,"The relation ""Olufemi Adegbola submitted thesis"" is explicitly mentioned in the sentence, making it a direct statement. The subject and object boundaries are correctly identified as they correspond to the actual entities in the source sentence.",6.045078754425049,,True,5.0,5.0,"The relation is accurately represented in the source sentence, with Olufemi Adegbola submitting a thesis directly stated as factual information. Entity boundaries are correctly identified within their character ranges without overlap or misplacement of characters between them.",9.771615982055664,,True,3,5,"The relation is implied in the sentence as ""A thesis submitted to...""  clearly indicates Olufemi Adegbola submitted the thesis. While not directly stated, it's a logical inference. The entity boundaries are correctly identified.",7.413457870483398,,True,4,3,"The extracted relation ""submitted"" is accurately represented in the source sentence, as it mentions that the thesis was submitted to the Department of Chemical Engineering. However, the object position (thesis) does not match exactly with the extracted relation's predicate (""submitted""), which suggests a slight mismatch in the exact wording but overall correct representation.",4.102209091186523,,False,3.0,4.0,"The relation is accurately represented in the sentence, but it's not directly stated. For example, ""thesis submitted to the Department of Chemical Engineering"" does not mention Olufemi Adegbola as the subject. Also, the object position (23-29) seems incorrect because ""thesis"" is at the end of the sentence and it's unclear where the object starts.",7.975309133529663,
0x66f,this study,investigated the growth of M. trichosporium on,"the water soluble carbon source, methanol",,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"This study investigated the growth of M. trichosporium on the water soluble carbon source, methanol while retaining sMMO activity.",True,5.0,5.0,"The relation is directly stated in the sentence, with ""This study"" as the subject and ""the water soluble carbon source, methanol"" as the object. The entity boundaries are correctly identified, matching the positions specified in the problem statement.",8.387234926223755,,True,,,"The relation ""this study investigated the growth of M. trichosporium on"" is directly stated in the sentence, and the subject and object boundaries are correctly identified as ""This study"" and ""the water soluble carbon source, methanol"", respectively.",6.257517099380493,,True,5.0,5.0,"The extracted relation is accurately represented in the source sentence, as it clearly states that ""this study"" investigated M. trichosporium' endogenous sMMO activity on methanol without any ambiguity or additional information not present in the original text. Furthermore, entity boundaries are correctly identified with no misplacement of words within their respective positions for subject and object.",4.963862180709839,,True,5,5,"The relation accurately reflects the sentence's content, stating directly that ""this study"" investigated the growth of M. trichosporium on methanol. Both subject and object are identified perfectly.",6.918799877166748,,True,4,3,"The extracted relation ""investigated the growth of M. trichosporium on"" is accurately represented in the source sentence, which states: ""This study investigated the growth of M. trichosporium on the water soluble carbon source, methanol while retaining sMMO activity."" The subject (this study) and object (the water soluble carbon source, methanol) are correctly identified within the boundaries provided by the characters in the sentence. However, there is a slight discrepancy with the predicate ""while retaining sMMO activity,"" which was not explicitly stated in the original sentence but is implied as part of the context. This makes it partially supported rather than directly stated.",5.2317140102386475,,True,5.0,5.0,,13.207385778427124,
0x649,"Copyright © Olufemi Adegbola, 2008",Copyright,rights,,,,High cell density methanol cultivation of Methylosinus trichosporium OB3b,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Copyright © Olufemi Adegbola, 2008",True,5.0,5.0,"The relation is directly stated in the sentence, with ""Copyright"" as the predicate and ""rights"" implied by the context of copyright. The entity boundaries are also correctly identified, with ""Olufemi Adegbola, 2008"" being the object of the relation.",8.630146026611328,,True,5.0,5.0,"The relation ""Copyright"" is directly stated in the sentence, and the subject and object are correctly identified as the copyright symbol and the rights associated with it respectively. The sentence explicitly states that the copyright belongs to Olufemi Adegbola, and the year of copyright is given as 2008.",6.161303997039795,,True,5.0,5.0,"The extracted relation directly states the subject, predicate and object within the source sentence. There is no misrepresentation or omission of information; hence it's accurate with respect to both faithfulness and boundary quality.",4.0347068309783936,,True,5,5,"The relation ""Copyright"" is directly stated in the sentence, and the subject (""Copyright © Olufemi Adegbola, 2008"") and object (""rights"") are accurately identified.",6.83347487449646,,True,4,3,"The extracted relation ""Copyright"" is accurately represented in the sentence, but it does not specify who owns or what rights are being protected. It also does not mention the year of copyright (2008), which could be considered partially supported as it's part of the context provided. The subject and object boundaries are correctly identified as characters 0-34 and 35-69, respectively, but they do not fully cover the entire sentence due to the lack of additional information about ownership or rights.",4.560034990310669,,True,3.0,4.0,"The extracted relation accurately represents the structure of the sentence. It is stated directly in the source, but it's not fully supported by the sentence as a whole. For instance, ""rights"" is mentioned without any context about its origin or meaning. However, the subject and object are correctly identified at their boundaries (0-34 for subject and 12-16 for object).",7.642841100692749,
0x66d,Methylosinus trichosporium OB3b,produces high levels of,soluble methane monooxygenase (sMMO),,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol.",True,5.0,5.0,"The relation is directly stated in the sentence, with ""Methylosinus trichosporium OB3b"" as the subject and ""soluble methane monooxygenase (sMMO)"" as the object. The entity boundaries are correctly identified, with no extraneous characters included or omitted from the subject and object positions.",9.353887796401978,,True,5.0,5.0,"The relation ""produces high levels of soluble methane monooxygenase (sMMO)"" is directly stated in the sentence, and the subject and object are correctly identified. The system has accurately extracted the information from the source.",5.92130708694458,,True,5.0,5.0,"The source sentence directly states that Methylosinus trichosporium OB3b produces high levels of soluble methane monooxygenase (sMMO) in the absence of copper, which matches the extracted relation. Entity boundaries are clearly identified as ""Methylosinus trichosporium OB3b"" for the subject and ""soluble methane  monooxygenase  (sMMO)"" for the object within their respective positions in the sentence.",5.574567794799805,,True,4,5,"The relation is accurately represented in the sentence, and the wording closely matches the source.  The subject and object are correctly identified.",6.310644865036011,,True,4,3,"The extracted relation ""produces high levels of"" is accurately represented in the source sentence, as it states that Methylosinus trichosporium OB3b produces high levels of soluble methane monooxygenase (sMMO). The subject and object are correctly identified within the context provided.",3.9116640090942383,,True,5.0,5.0,"The extracted relation accurately represents the direct relationship between Methylosinus trichosporium OB3b and soluble methane monooxygenase (sMMO). This information is clearly stated in the source sentence, with no additional words or characters that could confuse this relation.",15.037997007369995,
0x67b,SMMO,is able to oxidize,chlorinated hydrocarbons,,,,Abstract,Copy of Adegbola thesis High Density Cultures20251113.pdf,"Methylosinus trichosporium OB3b is a wild type, obligate methanotroph that grows only on one-carbon compounds and, in the absence of copper, produces high levels of soluble methane  monooxygenase  (sMMO)  to  metabolize  methane  to  methanol. SMMO  has gained a great deal of attention in the bioremediation and chemical industries because of its  low  substrate  specificity  and  its  ability  to  oxidize  chlorinated  hydrocarbons. This study investigated the growth of M. trichosporium on the water soluble carbon source, methanol while retaining sMMO activity. A biomass density  of  19  g/L  (growth  rate  of  0.013-0.065  h -1 )  was  achieved  with  sMMO activity  of  300  to  500  [µmol  naphthol][g  of  biomass] -1 After  6  months  of subsequent  plate  transfers, M.  trichosporium lost  the  ability  to  produce  high  levels  of sMMO. It is recommended that further studies be carried out on stimulating sMMO activity during cultivation on methanol.",True,5.0,5.0,"The relation is directly stated in the sentence, and the entity boundaries (subject ""sMMO"" and object ""chlorinated hydrocarbons"") are correctly identified.",8.522053956985474,,True,5.0,5.0,"The relation ""SMMO is able to oxidize chlorinated hydrocarbons"" is directly stated in the sentence. The system correctly identified the subject and object entities.",6.057442665100098,,True,4.0,5.0,"The relation is accurately represented as the source sentence mentions that sMMO has gained attention for its ability to oxidize chlorinated hydrocarbons. However, it does not explicitly state this in every instance of mentioning 'sMMO' and 'chlorinated hydrocarbons', which might lead one to partially infer from context rather than directly reading the statement as presented; hence a rating of 4 for faithfulness instead of perfect (5). The boundaries are correctly identified with precise mentions within the sentence.",6.132338285446167,,True,3,4,"The relation is accurately represented in the sentence, but it's not directly stated. It's partially supported by the phrase ""its ability to oxidize chlorinated hydrocarbons.""  The subject and object are correctly identified, with a slight ambiguity around ""sMMO"" potentially referring to both soluble methane monooxygenase and the enzyme complex itself.",9.533693075180054,,True,4,3,"The extracted relation ""is able to oxidize"" is accurately represented in the source sentence, as it states that SMMO has gained a great deal of attention due to its ability to oxidize chlorinated hydrocarbons. However, the object ""chlorinated hydrocarbons"" is not directly stated but inferred from the context provided in the sentence. The subject position ""sMMO"" is correctly identified within the source text.",4.534791946411133,,True,5.0,4.0,,14.721345901489258,
