relation_id,subject,predicate,object,hub_entity,hub_connectivity,confidence,section,source_paper,source_text,llama3.2_3b_text_accuracy,llama3.2_3b_text_faithfulness,llama3.2_3b_text_boundary_quality,llama3.2_3b_text_justification,llama3.2_3b_text_inference_time,llama3.2_3b_text_error,mistral_7b_text_accuracy,mistral_7b_text_faithfulness,mistral_7b_text_boundary_quality,mistral_7b_text_justification,mistral_7b_text_inference_time,mistral_7b_text_error,llama3.1_8b_text_accuracy,llama3.1_8b_text_faithfulness,llama3.1_8b_text_boundary_quality,llama3.1_8b_text_justification,llama3.1_8b_text_inference_time,llama3.1_8b_text_error
0x401,McDonald,is author of,"Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001","Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001",20,,References,Copy of A. Priyadarsini et al. 202320251115.pdf,"Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001.",True,5,5,"The relation ""is author of"" is directly stated in the source sentence, with the subject (""McDonald"") and object (""Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001"") clearly identified. The extracted relation accurately represents the sentence's meaning.",6.479602813720703,,True,,,"The relation ""McDonald is author of"" is accurately represented in the sentence as McDonald is listed among the authors. The relation is directly stated, and the entity boundaries are correctly identified since both subject and object are correctly extracted from the source sentence.",7.839400291442871,,True,5,5,"The relation is accurately represented in the sentence, as it directly states that McDonald is an author of the listed authors. The entity boundaries are also correctly identified, with ""McDonald"" clearly marked as the subject and the long list of authors marked as the object.",9.169724941253662,
0x3f,Methane,is a major greenhouse gas,GHG,Methane,20,,1. Introduction,Copy of A. Priyadarsini et al. 202320251115.pdf,"Methane  is  the  smallest  of  the  hydrocarbon  family  in  its  most reduced form, which means it is packed with potential energy. It is also a major greenhouse gas (GHG) which is also called a short-term enforcer, i.e. it persists in the atmosphere for shorter duration, as compared to carbon dioxide (CO2) that can stay in atmosphere for thousand years, but its heating effect is much more potent than that of CO2. Thus, even with a shorter lifespan, methane has 28 -34 times higher global warming potential over a period of 100 years than that of CO2  due to its higher solar  radiation  capturing  efficiency  (Priyadarsini  et  al.,  2020).",True,5,5,"The relation ""is a major greenhouse gas"" is directly stated in the source sentence, and the entity boundaries (subject ""Methane"" and object ""GHG"") are correctly identified.",3.410426139831543,,True,5.0,5.0,"The relation ""Methane is a major greenhouse gas"" is directly stated in the source sentence. The subject and object boundaries are correctly identified as ""Methane"" and ""GHG"", respectively, which are the entities involved in the relation.",6.2575201988220215,,True,5,5,"The relation is directly stated in the sentence, with ""Methane"" being explicitly mentioned as a major greenhouse gas (GHG). The entity boundaries are also correctly identified, with ""Methane"" starting at character 0 and ""GHG"" ending at character 172.",6.544068098068237,
0x45d,Patel,is author of,"Patel, S.K.S., Kalia, V.C., Joo, J.B., Kang, Y.C., Lee, J.K., 2020c",Patel,32,,References,Copy of A. Priyadarsini et al. 202320251115.pdf,"Patel, S.K.S., Jeong, J.H., Mehariya, S., Otari, S.V., Madan, B., Haw, J.R., Lee, J.K., Zhang, L., Kim, I.W., 2016a. Patel, S.K.S., Mardina, P., Kim, D., Kim, S.Y., Kalia, V.C., Kim, I.W., Lee, J.K., 2016b. Patel, S.K.S., Mardina, P., Kim, S.Y., Lee, J.K., Kim, I.W., 2016c. Patel, S.K.S., Singh, R.K., Kumar, A., Jeong, J.H., Jeong, S.H., Kalia, V.C., Kim, I.W., Lee, J.K., 2017. Patel, S.K.S., Kondaveeti, S., Otari, S.V., Pagolu, R.T., Jeong, S.H., Kim, S.C., Cho, B.K., Kang, Y.C., Lee, J.K., 2018a. Patel, S.K.S., Kumar, V., Mardina, P., Li, J., Lestari, R., Kalia, V.C., Lee, J.K., 2018b. Patel, S.K.S., Jeon, M.S., Gupta, R.K., Jeon, Y., Kalia, V.C., Kim, S.C., Cho, B.K., Kim, D. R., Lee, J.K., 2019. Patel, S.K.S., Gupta, R.K., Kondaveeti, S., Otari, S.V., Kumar, A., Kalia, V.C., Lee, J.K., 2020a. Patel, S.K.S., Gupta, R.K., Kumar, V., Kondaveeti, S., Kumar, A., Das, D., Kalia, V.C., Lee, J.K., 2020b. https://doi.org/10.1007/ s12088-020-00883-6.

Patel, S.K.S., Kalia, V.C., Joo, J.B., Kang, Y.C., Lee, J.K., 2020c. Patel, S.K.S., Shanmugam, R., Kalia, V.C., Lee, J.K., 2020d.",True,5,5,"The relation ""is author of"" is directly stated in the source sentence, and the entity boundaries (subject and object) are correctly identified. The extracted relation accurately represents the relationship between Patel and his publications.",3.4286298751831055,,True,5.0,5.0,"The extracted relation ""Patel is author of Patel, S.K.S., Kalia, V.C., Joo, J.B., Kang, Y.C., Lee, J.K., 2020c"" is directly stated in the source sentence as the authors are listed for each publication. The entity boundaries are correctly identified as the subject ""Patel"" and the object is the list of authors including ""Patel"" from the given publication year 2020c.",9.014682054519653,,True,5,5,"The relation is accurately represented in the sentence, as it clearly states that Patel is the author of the paper ""Patel, S.K.S., Kalia, V.C., Joo, J.B., Kang, Y.C., Lee, J.K., 2020c"". The entity boundaries are also correctly identified, with ""Patel"" being the subject and the object being a specific paper written by Patel.",8.685097932815552,
0x5f0,Khmelenina,is author of,"Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001","Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001",20,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001.",True,5,5,"The relation is accurately represented in the sentence, as the extracted subject and object are directly stated. The entity boundaries are correctly identified, with no extraneous information or missing parts.",2.5851728916168213,,True,,,"The extracted relation ""is author of"" is accurately represented in the sentence as Khmelenina is listed among the authors. The relation is directly stated since the authors are explicitly mentioned. The entity boundaries are correctly identified, as both the subject and object positions correspond to the correct entities in the source sentence.",6.041614055633545,,True,5,5,"The relation is accurately represented in the sentence, as it directly states that Khmelenina is an author of the listed publication. The entity boundaries are also correctly identified, with ""Khmelenina"" clearly marked as the subject and the long list of authors as the object.",5.783697843551636,
0x520,Methanotrophs,are sources of,Dairy and cattle industries,Methanotrophs,15,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Major  sources  of  methanotrophs  include  agricultural  rice  fields, natural gas fields, dairy and cattle industries, etc. The difference in the  rate  of  production  and  emission  can  be  explained  by  methane oxidation by the methanotrophs present in the oxic regions of the rice roots  and  rhizospheres  (Conrad  and  Rothfuss,  1991). The  conversion efficiencies  of  transported  methane  by  methanotrophs  remain  in  the range of 70 -95 % in the soil-water interface (Epp and Chanton, 1993; Gilbert  and  Frenzel,  1995). The  rice  field  rhizosphere  community comprises of type I and type II methanotrophs. In fact, no Type I methanotrophs had been isolated from rice rhizosphere, rice roots, bulk soil or floodwater and  only  their  presence  was  confirmed  using  molecular  techniques (Dianou et al., 2012; Pandit et al., 2016; Takeda et al., 2008). Several methanotrophs  with pmoA lineages  from  rice  paddy  cluster  (e.g., RPC1 -3)  have  been  detected  but  remain  uncultured  till  date  (Knief, 2015; Lüke et al., 2014). Methanol production capability of these methanotrophs is yet to be studied. Thus, rice field was chosen for this study since  they  are  a  breaming  source  of  methanotrophs  and  they  are commonly found across India.",True,5,5,"The relation ""are sources of"" is directly stated in the source sentence, and the entity boundaries (subject and object) are correctly identified. The extracted relation accurately represents the relationship between methanotrophs and dairy and cattle industries as sources of methane production.",3.1478872299194336,,True,,,"The relation is accurately represented in the sentence as it mentions ""Major sources of methanotrophs include... dairy and cattle industries"". However, the faithfulness rating is lower because the focus of the sentence is not solely on the dairy and cattle industries as a source of methanotrophs. The subject and object boundaries are correctly identified in the sentence.",8.896157264709473,,True,4,5,"The relation is accurately represented in the sentence, with ""methanotrophs"" being correctly identified as the subject and ""dairy and cattle industries"" as the object. The entity boundaries are also perfectly identified, with no overlap or underlap between the subject and object positions.",6.390960931777954,
0x611,Kaluzhnaya,is author of,"Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001","Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001",20,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Kaluzhnaya, M., Khmelenina, V., Eshinimaev, B., Suzina, N., Nikitin, D., Solonin, A., Lin, J.L., McDonald, I., Murrell, C., Trotsenko, Y., 2001.",True,5,5,"The relation is accurately represented in the sentence as it directly states that Kaluzhnaya is the author of the given publication. The entity boundaries are correctly identified, with the subject being characters 0-10 and the object being characters 0-143, which matches the structure of the source sentence.",3.040761947631836,,True,,,"The extracted relation ""is author of"" is accurately represented in the sentence as the given authors are indeed the authors of the work mentioned. The relation is directly stated, and the entity boundaries are correctly identified since both the subject and object are correctly recognized within the source sentence.",5.783406019210815,,True,5,5,"The relation is directly stated in the sentence, with ""Kaluzhnaya"" being the subject and the list of authors following as the object. The entity boundaries are correctly identified, with the subject starting at character 0 and the object spanning from character 0 to 143.",5.722169637680054,
0x2d5,Methanotrophs,convert,methane to methanol,Methanotrophs,15,,4. Discussion,Copy of A. Priyadarsini et al. 202320251115.pdf,Methanotrophs efficiently convert methane to methanol in a single step using methane monooxygenase enzymes at ambient reaction conditions.,True,5,5,"The relation is accurately represented in the sentence, as it directly states that methanotrophs convert methane to methanol. The entity boundaries are also correctly identified, with ""Methanotrophs"" being the subject and ""methane to methanol"" being the object.",2.71386981010437,,True,5.0,5.0,"The relation ""Methanotrophs convert methane to methanol"" is directly stated in the sentence. The subject, object, and their boundaries are correctly identified.",4.068112850189209,,True,5,5,"The relation is directly stated in the sentence, with ""Methanotrophs"" as the subject and ""methane to methanol"" as the object. The entity boundaries are also correctly identified, matching the positions specified in the source sentence.",5.06174898147583,
0x716,Methane,is the most widely used substrate employed in cultivating this organism,M. trichosporium,Methane,20,,2.1 Methanotrophic bacteria,Copy of Adegbola thesis High Density Cultures20251113.pdf,"M. trichosporium is  an  aerobic, obligate methanotroph that can only utilize C1- carbon sources  such  as  methane  and  methanol  as  primary  growth  substrates. It  is  a  Type  II methanotroph  producing  both  soluble  (sMMO)  and  particulate  (pMMO)  forms  of methane  monooxygenase. Methane is the most widely used substrate employed in cultivating this organism.",True,5,5,"The relation is accurately represented in the sentence, as it directly states that ""Methane"" is the most widely used substrate employed in cultivating M. trichosporium. The extracted relation matches the source sentence's wording and structure, indicating a high level of faithfulness to the original statement.",3.1256189346313477,,True,5.0,5.0,"The relation ""Methane is the most widely used substrate employed in cultivating this organism"" is directly stated in the source sentence. The subject and object boundaries are correctly identified as ""methane"" and ""M. trichosporium"", respectively, which are the entities mentioned in the relation.",5.784154176712036,,True,5,5,"The relation is directly stated in the sentence, and the entity boundaries (subject: ""Methane"", object: ""M. trichosporium"") are correctly identified as they match the positions specified in the source sentence.",4.97098708152771,
0x620,Patel,is author of,"Patel, S.K.S., Gupta, R.K., Kumar, V., Kondaveeti, S., Kumar, A., 2020b",Patel,32,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Patel, S.K.S., Jeong, J.H., Mehariya, S., Otari, S.V., Madan, B., Haw, J.R., Lee, J.K., Zhang, L., Kim, I.W., 2016a. Patel, S.K.S., Mardina, P., Kim, D., Kim, S.Y., Kalia, V.C., Kim, I.W., Lee, J.K., 2016b. Patel, S.K.S., Mardina, P., Kim, S.Y., Lee, J.K., Kim, I.W., 2016c. Patel, S.K.S., Singh, R.K., Kumar, A., Jeong, J.H., Jeong, S.H., Kalia, V.C., Kim, I.W., Lee, J.K., 2017. Patel, S.K.S., Kondaveeti, S., Otari, S.V., Pagolu, R.T., Jeong, S.H., Kim, S.C., Cho, B.K., Kang, Y.C., Lee, J.K., 2018a. Patel, S.K.S., Kumar, V., Mardina, P., Li, J., Lestari, R., Kalia, V.C., Lee, J.K., 2018b. Patel, S.K.S., Jeon, M.S., Gupta, R.K., Jeon, Y., Kalia, V.C., Kim, S.C., Cho, B.K., Kim, D. R., Lee, J.K., 2019. Patel, S.K.S., Gupta, R.K., Kondaveeti, S., Otari, S.V., Kumar, A., Kalia, V.C., Lee, J.K., 2020a. Patel, S.K.S., Gupta, R.K., Kumar, V., Kondaveeti, S., Kumar, A., Das, D., Kalia, V.C., Lee, J.K., 2020b. https://doi.org/10.1007/ s12088-020-00883-6.

Patel, S.K.S., Kalia, V.C., Joo, J.B., Kang, Y.C., Lee, J.K., 2020c. Patel, S.K.S., Shanmugam, R., Kalia, V.C., Lee, J.K., 2020d.",True,5,5,"The relation ""is author of"" is directly stated in the source sentence, and the entity boundaries (subject and object) are correctly identified as Patel.",2.771912097930908,,True,,,"The extracted relation ""Patel is author of Patel, S.K.S., Gupta, R.K., Kumar, V., Kondaveeti, S., Kumar, A., 2020b"" is directly stated in the source sentence as the authors are listed explicitly. The entity boundaries are correctly identified as the subject ""Patel"" and the object is the list of authors mentioned in the paper published in 2020b.",8.404887199401855,,True,4,5,"The relation is accurately represented in the sentence, as it clearly states that Patel is the author of a specific paper (2020b). The entity boundaries are correctly identified, with ""Patel"" being the subject and ""Patel, S.K.S., Gupta, R.K., Kumar, V., Kondaveeti, S., Kumar, A., 2020b"" being the object.",7.811748027801514,
0x501,Methane,is a major greenhouse gas,GHG,Methane,20,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Methane  is  the  smallest  of  the  hydrocarbon  family  in  its  most reduced form, which means it is packed with potential energy. It is also a major greenhouse gas (GHG) which is also called a short-term enforcer, i.e. it persists in the atmosphere for shorter duration, as compared to carbon dioxide (CO2) that can stay in atmosphere for thousand years, but its heating effect is much more potent than that of CO2. Thus, even with a shorter lifespan, methane has 28 -34 times higher global warming potential over a period of 100 years than that of CO2  due to its higher solar  radiation  capturing  efficiency  (Priyadarsini  et  al.,  2020).",True,5,5,"The relation ""is a major greenhouse gas"" is directly stated in the source sentence, and the entity boundaries (subject ""Methane"" and object ""GHG"") are correctly identified.",2.835623025894165,,True,5.0,5.0,"The relation ""Methane is a major greenhouse gas"" is directly stated in the source sentence. The subject and object boundaries are correctly identified as ""Methane"" and ""GHG"", respectively, which are the entities involved in the relation.",5.236004829406738,,True,5,5,"The relation is directly stated in the sentence, with ""Methane"" being explicitly mentioned as a major greenhouse gas (GHG). The entity boundaries are also correctly identified, with ""Methane"" starting at character 0 and ""GHG"" ending at character 172.",5.779225826263428,
